name,handle,date,text,replys,retweets,likes
Bruno 4 Congress CA23 Against Kevin McCarthy,@BrunoAmato_1,2021-07-08 01:29:33+00:00,"Bruno 4 Congress CA23 Against Kevin McCarthyHitler died in 1945. 
Trump born in 1946.
#Reincarnation
314
896
4.1K",314,896,4.1K
Don Lewis,@DonLew87,2021-07-08 01:52:13+00:00,"Don LewisBrain disease, insanity, bigotry, stupidity, greed, fear of prison, what's your take on these people who still say Trump won the election?
745
540
3K",745,540,3K
John Collins,@JohnCollins_KP,2021-07-08 02:00:04+00:00,"John CollinsBREAKING: Trump’s healthcare plan expected in two weeks.
903
1.5K
16.7K",903,1.5K,16.7K
Rob Reiner,@robreiner,2021-07-08 02:43:31+00:00,"Rob ReinerAs we sit here tonight, America is not a Democracy. Until all voters have equal access to the ballot box and Donald Trump is prosecuted for his deadly attempt to overthrow the government, America is not a Democracy.
917
7K
35.9K",917,7K,35.9K
Barbara K. Janik,@BarbaraKJanik,2021-07-08 02:43:36+00:00,"Barbara K. JanikIf you vote for an openly racist person (Trump), does that make you a racist?
2.2K
584
3.7K",2.2K,584,3.7K
NBC News,@NBCNews,2021-07-08 02:47:02+00:00,"NBC News“My intuition with Trump, it's interesting, I think that he gets a certain kick out of people kissing his a--,” Vance tells 
@NBCNews
. “But I also think he thinks that people who kiss his a-- all the time are pretty weak.”
nbcnews.com
GOP Senate candidate J.D. Vance says Trump views suck-ups as 'weak'
The ""Hillbilly Elegy"" author and Ohio GOP primary contender talked about courting Trump's endorsement and his past criticism of the former president.
358
386
995",358,386,995
Anna Khait,@Annakhait,2021-07-08 02:58:03+00:00,"Anna KhaitI’ll be joining President Trump’s class action lawsuit.
747
2.6K
27.4K",747,2.6K,27.4K
The Washington Post,@washingtonpost,2021-07-08 04:45:19+00:00,"The Washington PostOpinion: Trump’s latest ridiculous lawsuit shows how small he has become
washingtonpost.com
Opinion | Trump’s latest ridiculous lawsuit shows how small he has become
No one expected him to discover dignity for the first time in his life. But this is just pathetic.
653
685
3K",653,685,3K
Stephen King,@StephenKing,2021-07-08 10:29:39+00:00,"Stephen KingSince Trump left office, taxpayers have ponied up $50,000 for rooms at Mar-a-Lago, according to the Washington Post. That money goes right into the Donald’s pocket. As my mom used to say, “Nice work if you can get it.”
550
2.4K
14K",550,2.4K,14K
The Washington Post,@washingtonpost,2021-07-08 10:42:29+00:00,"The Washington PostTrump charged Secret Service nearly $10,200 in May for agents’ rooms
washingtonpost.com
Trump charged Secret Service nearly $10,200 in May for agents’ rooms
The bill came atop earlier charges during the former president’s stay at his Florida resort, before he moved north.
946
1.8K
2.6K",946,1.8K,2.6K
Kyle Griffin,@kylegriffin1,2021-07-08 11:00:01+00:00,"Kyle GriffinTrump's social media lawsuits, if they're somehow allowed to proceed, could end up forcing him to testify under oath about Jan. 6.
693
3K
23K",693,3K,23K
Scott Dworkin,@funder,2021-07-08 14:49:41+00:00,"Scott DworkinUnhinged GOP Rep Ken Buck lies and says Google changed 15 million votes from trump to Biden. To be clear Google didn’t change any votes let alone 15 million. Republicans have completely lost it. Let’s make this viral. Via 
@lawindsor
From 
Lauren Windsor
3.5K
13K
17.1K",3.5K,13K,17.1K
New York Post,@nypost,2021-07-08 15:41:44+00:00,"New York PostNewest Trump Tower: Barron shows off his 6-foot-7 height in NYC https://trib.al/bPix6PR
2.6K
5.8K
14.4K",2.6K,5.8K,14.4K
Angry Staffer,@Angry_Staffer,2021-07-08 15:48:35+00:00,"Angry StafferThe Speaker’s office called Trump a twice-impeached Florida retiree 
396
3.2K
16.3K",396,3.2K,16.3K
MartyrMade,@martyrmade,2021-07-08 15:56:46+00:00,"MartyrMadeI think I've had discussions w/enough Boomer-tier Trump supporters who believe the 2020 election was fraudulent to extract a general theory about their perspective. It is also the perspective of most of the people at the Capitol on 1/6, and probably even Trump himself. 1/x
3.2K
25K
38.9K",3.2K,25K,38.9K
Martyn McLaughlin,@MartynMcL,2021-07-08 15:59:05+00:00,"Martyn McLaughlinA *very* interesting development in Trump world. As of today, Allen Weisselberg, the chief financial officer of the Trump Organisation, who has been charged with multiple counts of tax fraud in New York, is no longer a director of Trump's inaugural company in Scotland.
529
1.8K
4.8K",529,1.8K,4.8K
Andrew Pollack,@AndrewPollackFL,2021-07-08 17:46:17+00:00,"Andrew PollackLori Lightfoot is asking Joe Biden for help getting crime under control in Chicago.

This is the same Mayor who DENIED President Donald J. Trump when he offered federal help!
494
2.7K
8.7K",494,2.7K,8.7K
Barbara Malmet,@B52Malmet,2021-07-08 18:00:00+00:00,"Barbara MalmetWhat is taking so long to charge Trump and Graham with election interference in Georgia??
541
4.4K
23K",541,4.4K,23K
Jeff Tiedrich,@itsJeffTiedrich,2021-07-08 18:11:45+00:00,"Jeff Tiedrichholy fucking shit, ""Donald Trump deserves endless praise for the vaccine I refuse to take"" is some industrial-strength batshit incoherence right there. congratulations, morons
448
6.5K
42K",448,6.5K,42K
MartyrMade,@martyrmade,2021-07-08 18:27:34+00:00,"MartyrMadeThey were led down some rabbit holes, but they are absolutely right that their gov't is monopolized by a Regime that believes they are beneath representation, and will observe no limits to keep them getting it. Trump fans should be happy he lost; it might've kept him alive. /end
542
1.3K
9.1K",542,1.3K,9.1K
The First,@TheFirstonTV,2021-07-08 18:44:11+00:00,"The FirstFormer President Trump tells The First's 
@BillOReilly
 he's fully prepared to go to ""war"" with Big Tech.

""Everything is a war. With me, life is war. Yeah, we're prepared and someone had to do it.""

Do not miss this fiery interview TONIGHT at 8PM ET: http://thefirsttv.com/watch
2K
1.9K
3.8K",2K,1.9K,3.8K
