name,handle,date,text,replys,retweets,likes
Jeras Ikehorn,@JerasIkehorn,2021-07-14 12:16:38+00:00,"Jeras IkehornBREAKING NEWS: Donald Trump Jr. is now under investigation by prosecutors from multiple jurisdictions.

Raise your hand if he belongs in jail! 
515
1K
5.3K",515,1K,5.3K
Juanita Broaddrick,@atensnut,2021-07-14 12:28:35+00:00,"Juanita BroaddrickThe numbers don’t match.  Buckle you seatbelts, y’all.  We knew Trump won.... what now??
553
4.1K
21.5K",553,4.1K,21.5K
Marjorie Taylor Greene,@mtgreenee,2021-07-14 12:33:28+00:00,"Marjorie Taylor GreeneToday, I'm visiting our southern border to see the national security disaster Joe Biden and Kamala Harris have created for our country.

Below is a clear look at Trump’s strong #AmericaFirst border policies ruined by Biden’s #AmericaLast open border policies.

#ImpeachBiden
1K
1.4K
4.4K",1K,1.4K,4.4K
Liz Harrington,@realLizUSA,2021-07-14 15:27:55+00:00,"Liz HarringtonNEW!

President Donald J. Trump:

""The news coming out of Georgia is beyond incredible. The hand recount in Fulton County was a total fraud! They stuffed the ballot box—and got caught. We will lose our Country if this is allowed to stand.""
968
2.7K
6K",968,2.7K,6K
Jim Sciutto,@jimsciutto,2021-07-14 15:41:18+00:00,"Jim SciuttoTrump is spreading election lies again today via statements. I won’t repeat them, but it’s important to know this is a continuing, daily effort to undermine his loss and the election system itself.
346
1.7K
7K",346,1.7K,7K
PoliticsVideoChannel,@politvidchannel,2021-07-14 15:58:56+00:00,"PoliticsVideoChannelBREAKING: GOP Leader Kevin McCarthy has finally admitted Biden beat Trump fairly
542
1.8K
6.6K",542,1.8K,6.6K
PoliticsVideoChannel,@politvidchannel,2021-07-14 16:33:20+00:00,"PoliticsVideoChannelBREAKING: Mike Lindell backs off Trump's August reinstatement
297
452
1.7K",297,452,1.7K
Blue in Red,@idahogal1006,2021-07-14 17:54:06+00:00,"Blue in RedMan at lumber department of local Lowes complaining about price of lumber, saying it's all Biden's fault. I told him no, Trump put tariffs on Canadian lumber, plus pent up demand from COVID year is causing rise. He didn't like my answer.
835
2.1K
11.5K",835,2.1K,11.5K
Jeremy Stahl,@JeremyStahl,2021-07-14 18:31:41+00:00,"Jeremy StahlLOL. Trump's latest statement is an endorsement of Jesse Watters' book that reads like a personal blurb/review from someone who has read the book, but which is actually lifted verbatim from the book's details page.
525
1.4K
5.5K",525,1.4K,5.5K
Eric Garland,@ericgarland,2021-07-14 20:48:51+00:00,"Eric GarlandAs we speak, Trump Organization employees are making deals with prosecutors to screw every Mobster in the whole place.
337
1.1K
6.2K",337,1.1K,6.2K
Alex Cole,@acnewsitics,2021-07-14 21:20:26+00:00,"Alex ColeMike Lindell now says Trump wont be reinstated in August anymore.... womp womp.
355
526
4.1K",355,526,4.1K
Marjorie Taylor Greene,@mtgreenee,2021-07-14 23:24:04+00:00,"Marjorie Taylor GreeneAt the border today, I saw how Biden and Kamala are violating their oath by creating a national security crisis and destroying President Trump’s strong border policies.

They should be impeached, along with every Democrat who supports annihilating our laws & endangering America.
1.6K
4.6K
15.4K",1.6K,4.6K,15.4K
Rep. Marjorie Taylor Greene,@RepMTG,2021-07-14 23:34:44+00:00,"Rep. Marjorie Taylor GreeneThank you to the US Border Patrol for a tour of the border today! Our nation owes all of you our gratitude!

President Trump's border wall has made our nation safer.
1.3K
1K
5.7K",1.3K,1K,5.7K
CNN Politics,@CNNPolitics,2021-07-15 00:13:04+00:00,"CNN PoliticsThe nation’s top military leaders discussed a plan to resign one by one rather than carry out dangerous orders in the event of an attempted coup by then-President Donald Trump and his allies after the November election, new book reveals
cnn.com
'They're not going to f**king succeed': Top generals feared Trump would attempt a coup after...
The top US military officer, Chairman of the Joint Chiefs Gen. Mark Milley, was so shaken that then-President Donald Trump and his allies might attempt a coup or take other dangerous or illegal...
1.4K
6.7K
14.8K",1.4K,6.7K,14.8K
Anthony Scaramucci,@Scaramucci,2021-07-15 00:37:49+00:00,"Anthony ScaramucciTrump is a traitor.
955
2.2K
17.9K",955,2.2K,17.9K
David Axelrod,@davidaxelrod,2021-07-15 00:54:43+00:00,"David AxelrodI generally shy away from words like these, but they are simply undeniable:
Donald Trump is a fascist.
The fact that the leaders of America’s military were on alert for a potential coup attempt is appalling, frightening but, stunningly, not surprising.
David Axelrod
@davidaxelrod
 · Jul 15
'They're not going to f**king succeed': Top generals feared Trump would attempt a coup after election, according to new book
https://cnn.com/2021/07/14/politics/donald-trump-election-coup-new-book-excerpt/index.html…
332
2.7K
10.2K",332,2.7K,10.2K
George Conway,@gtconway3d,2021-07-15 01:26:41+00:00,"George Conway“Milley described ‘a stomach-churning’ feeling as he listened to Trump’s untrue complaints of election fraud, drawing a comparison to the 1933 attack on Germany’s parliament building that Hitler used as a pretext to establish a Nazi dictatorship.”
washingtonpost.com
Joint Chiefs chairman feared potential ‘Reichstag moment’ aimed at keeping Trump in power
Gen. Mark A. Milley saw himself as one of the last empowered defenders of democracy during some of the darkest days in the country’s recent history, according to a new book by two Washington Post...
370
3.3K
9.2K",370,3.3K,9.2K
Ana Navarro-Cárdenas,@ananavarro,2021-07-15 01:31:34+00:00,"Ana Navarro-CárdenasReminder:
@GovRonDeSantis
 is vaccinated.
Donald Trump is vaccinated.
Melania Trump is vaccinated.
Ivanka Trump is vaccinated.
They all live in Florida.

But yeah, jump on the anti-vaccine bandwagon to make the trained seals clap. Playing to the cheap seats is not leadership.
615
3.9K
14.4K",615,3.9K,14.4K
George Conway,@gtconway3d,2021-07-15 10:30:22+00:00,"George ConwaySo the 
@guardian
 is reporting that, according to Kremlin documents found to be genuine by Western intelligence agencies, in 2016 the Russians believed Trump was ""mentally unstable,"" that they had kompromat on him, and that his election would lead to ""social turmoil"" in the U.S.
Luke Harding
@lukeharding1968
 · Jul 15
Exclusive: Leaked Putin papers appear to show #Russia’s plot to put a “mentally unstable” Donald Trump into the White House – my story with @julianborger in Washington and @dansabbagh in London https://theguardian.com/world/2021/jul/15/kremlin-papers-appear-to-show-putins-plot-to-put-trump-in-white-house…
Show this thread
1.2K
6.4K
16.5K",1.2K,6.4K,16.5K
The Daily Beast,@thedailybeast,2021-07-15 10:37:10+00:00,"The Daily BeastBREAKING: Bombshell Kremlin leak appears to confirm Putin has Trump “kompromat”
thedailybeast.com
Reported Kremlin Leak Appears to Confirm Existence of Trump ‘Kompromat’
A document that The Guardian claims is from the Kremlin cryptically refers to “certain events” that happened during Trump’s “non-official visits to Russian Federation territory.”
1K
1K
1.4K",1K,1K,1.4K
CNN,@CNN,2021-07-15 11:22:04+00:00,"CNNThat seasoned military officers thought Trump may try to order the armed forces to stage a coup and that they hatched a plan for rolling resignations to thwart his autocratic impulses underscores Trump's extraordinary instability | Analysis by 
@StCollinson
cnn.com
Analysis: New Trump revelations underscore his undimmed danger
The most chilling implication from new reports that America's top military officer feared Donald Trump would try to order the armed forces to stage a coup is not how close the nation came to a...
831
1.6K
4.2K",831,1.6K,4.2K
Glenn Kirschner,@glennkirschner2,2021-07-15 11:26:09+00:00,"Glenn KirschnerDonald Trump inarguably committed multiple federal crimes. DOJ needs to make a move. If they fail to charge Trump, DOJ will be making a mockery of the rule of law AND ignoring the importance of a safe, healthy, stable democracy.
#JusticeMatters
976
8.4K
24.6K",976,8.4K,24.6K
Barbara Malmet,@B52Malmet,2021-07-15 11:40:20+00:00,"Barbara MalmetSo is Trump/Hitler going to run again in 2024?
385
296
1.2K",385,296,1.2K
Carmine Sabia,@CarmineSabia,2021-07-15 11:54:33+00:00,"Carmine SabiaWhat it appears happened in Fulton County and Maricopa County is theft. Evidence of theft. Not just Trump but two Senators who do not belong. This is why they chant ""The Big Lie"" like a mantra. They do not want you to look.
Rasmussen Reports
@Rasmussen_Poll
 · Jul 15
Damn Break: @FoxNews perhaps returns to its senses, uses @TuckerCarlson platform to report on 2020 election integrity, segment on Fulton County wraps in both @FDRLST investigation & @VoterGa revelations. Even uses @EmeraldRobinson photo of forced door at ballot warehouse. Boom.
391
583
1.4K",391,583,1.4K
The Lincoln Project,@ProjectLincoln,2021-07-15 12:02:01+00:00,"The Lincoln Project“Vladimir Putin personally authorised a secret spy agency operation to support a ‘mentally unstable’ Donald Trump in the 2016 US presidential election… according to what are assessed to be leaked Kremlin documents.”
theguardian.com
Kremlin papers appear to show Putin’s plot to put Trump in White House
Exclusive: Documents suggest Russia launched secret multi-agency effort to interfere in US democracy
1K
7K
17.2K",1K,7K,17.2K
The Guardian,@guardian,2021-07-15 12:02:24+00:00,"The GuardianKremlin papers appear to show Putin plot to put Trump in power | First Thing
theguardian.com
Kremlin papers appear to show Putin plot to put Trump in power | First Thing
Exclusive: documents suggest Vladimir Putin personally authorized a secret multi-agency effort to interfere in US democracy
770
2.2K
3.1K",770,2.2K,3.1K
Kayleigh McEnany,@kayleighmcenany,2021-07-15 12:03:50+00:00,"Kayleigh McEnanyWhat a headline!

The media ran with a lie about Trump for years, but don’t worry — they were just innocently manipulated! 
638
2.1K
8.4K",638,2.1K,8.4K
Ginger’s Page,@GingersPage,2021-07-15 12:04:49+00:00,"Ginger’s PageTucker Carlson gave us the facts. Trump not only won Fulton County but Georgia and many other states that were called for Biden. The election was rigged Trump Won! Who Agrees?!
545
1.1K
3.4K",545,1.1K,3.4K
Glenn Greenwald,@ggreenwald,2021-07-15 12:07:27+00:00,"Glenn GreenwaldThe part of the media that feigns anger at misinformation is uncritically promoting a story today by Luke Harding that Russia was blackmailing Trump -- the same Harding who has published many false stories, championed the Steele Dossier and claimed Trump was long a Russian agent.
487
1.4K
3.8K",487,1.4K,3.8K
Philip Rucker,@PhilipRucker,2021-07-15 12:58:25+00:00,"Philip RuckerJust in: Trump weighs in on our new reporting in I ALONE CAN FIX IT about Pelosi’s private conversation with Milley about fears Trump would launch nuclear weapons in his harrowing final days in office.
1.4K
596
1.8K",1.4K,596,1.8K
Anne Applebaum,@anneapplebaum,2021-07-15 13:01:07+00:00,"Anne ApplebaumOh look, the Kremlin thought Trump was mentally unstable and would divide Americans if he became president, so that's why they supported him
theguardian.com
Kremlin papers appear to show Putin’s plot to put Trump in White House
Exclusive: Documents suggest Russia launched secret multi-agency effort to interfere in US democracy
371
1.9K
5.7K",371,1.9K,5.7K
NoelCaslerComedy,@caslernoel,2021-07-15 13:08:47+00:00,"NoelCaslerComedyWent to sleep with news that US Generals feared Trump would attempt a coup. Woke up to confirmation Kremlin had kompromat on him and weaponized his candidacy. Arrest that MF’ker already.
425
7.9K
33.6K",425,7.9K,33.6K
Scott Dworkin,@funder,2021-07-15 13:10:12+00:00,"Scott DworkinTrump needs to be arrested immediately for trying to throw a coup.
457
4K
20.8K",457,4K,20.8K
Manu Raju,@mkraju,2021-07-15 13:12:14+00:00,"Manu RajuTrump says he and McCarthy are meeting today at his NJ golf club. “Much to discuss!” Trump says
1K
862
2.5K",1K,862,2.5K
Ned Ryun,@nedryun,2021-07-15 13:40:02+00:00,"Ned RyunI’m concerned that if Trump keeps meeting with McCarthy he’s going to lose support with a certain percentage of the base.
363
516
1.8K",363,516,1.8K
NoelCaslerComedy,@caslernoel,2021-07-15 13:50:48+00:00,"NoelCaslerComedyJust sayin’ if Russia knew Trump was mentally unstable do you not think the producers of ‘Apprentice’ or the network execs at NBC had reached the same conclusion over 12 seasons of airing his show?
449
2.9K
16K",449,2.9K,16K
Rob Reiner,@robreiner,2021-07-15 13:51:09+00:00,"Rob ReinerIt’s time to stop comparing Trump to Hitler. Trump is his own unique brand of Criminal Sociopath.
1.2K
4.4K
32.9K",1.2K,4.4K,32.9K
Juanita Broaddrick,@atensnut,2021-07-15 13:51:53+00:00,"Juanita BroaddrickTRUMP WON
BIDEN CHEATED
Let’s get it trending 
#TrumpWonBidenCheated
993
11.4K
23K",993,11.4K,23K
Robert Reich,@RBReich,2021-07-15 13:59:35+00:00,"Robert ReichIn just 5 months, the American economy has added 3 million jobs under Joe Biden.

It took Trump his entire first year to add 1.8 million jobs.

Tell me again that Democrats are bad for the economy.
488
2.3K
7.9K",488,2.3K,7.9K
Erie Siobhan,@ErieNotEerie,2021-07-15 14:20:42+00:00,"Erie SiobhanWhy is Kevin McCarthy meeting with Trump today in New Jersey?
1.4K
1.2K
4.8K",1.4K,1.2K,4.8K
TheSadTruth,@ReportsDaNews,2021-07-15 14:21:11+00:00,"TheSadTruthBREAKING: Trump to meet with Kevin McCarthy today.

Why?

Scared to discuss things over the phone much?
278
597
2.4K",278,597,2.4K
Andrea Junker,@Strandjunker,2021-07-15 14:45:11+00:00,"Andrea Junker2 died of Ebola: They said Obama should resign.

4 died in Benghazi: They had Hillary testify for 11 hours, held 33 hearings, and launched a multiyear probe.

623,846 Covid deaths plus an armed insurrection thanks to Trump’s malevolence: They cheered, and want America to move on.
768
19.7K
54.6K",768,19.7K,54.6K
Adam Parkhomenko,@AdamParkhomenko,2021-07-15 14:49:59+00:00,"Adam ParkhomenkoSeems like a smart country would be asking if McCarthy and Trump are getting together to plot their next coup attempt.
291
3.4K
13.3K",291,3.4K,13.3K
The Lincoln Project,@ProjectLincoln,2021-07-15 15:30:17+00:00,"The Lincoln ProjectDonald Trump and the GOP were ready to stage a coup against the U.S. The chair of the joint chiefs and top military officials were planning how to stop them.

This is the reason The Lincoln Project exists — why we continue to fight. We must put a stop to Republican extremism.
776
10.1K
43.8K",776,10.1K,43.8K
Rebecca Ballhaus,@rebeccaballhaus,2021-07-15 16:13:48+00:00,"Rebecca BallhausTrump says he never threatened a coup and that “if I was going to do a coup, one of the last people I would want to do it with is General Mark Milley,” in not the most persuasive rebuttal of a report that Milley feared Trump would attempt a coup.
397
1.1K
7K",397,1.1K,7K
Laurence Tribe,@tribelaw,2021-07-15 16:15:03+00:00,"Laurence Tribe“Garland’s evident wariness of pursuing allegations of misconduct from the last administration—including those against Trump—for fear of the political disruption could have grave consequences for the future.” It’s hard to disagree with that assessment.
nybooks.com
Merrick Garland’s Moderation to Excess
When prosecutors in the Manhattan District Attorney’s office indicted the Trump Organization and its chief financial officer, Allen Weisselberg, there was
431
1.1K
2.9K",431,1.1K,2.9K
The Hoarse Whisperer,@TheRealHoarse,2021-07-15 16:16:31+00:00,"The Hoarse WhispererIt would be great if the people who knew about the terrible things happening in the Trump Admin maybe said something about them at the time.
323
1.7K
14.7K",323,1.7K,14.7K
Ted Lieu,@tedlieu,2021-07-15 16:25:42+00:00,"Ted LieuIf the Kremlin papers are true, they show Putin “possesses kompromat, or potentially compromising material, on the future president … from Trump’s earlier ‘non-official visits to Russian Federation territory.’”

This would help explain why Trump repeatedly kneeled before Putin.
Frank Figliuzzi
@FrankFigliuzzi1
 · Jul 15
Kremlin papers appear to show Putin’s plot to put Trump in White House | Vladimir Putin | The Guardian https://theguardian.com/world/2021/jul/15/kremlin-papers-appear-to-show-putins-plot-to-put-trump-in-white-house…
1.1K
2.7K
8.5K",1.1K,2.7K,8.5K
Peter Baker,@peterbakernyt,2021-07-15 16:33:39+00:00,"Peter BakerTrump denies contemplating a coup but adds that ""if I was going to do a coup, one of the last people I would want to do it with is General Mark Milley.""
984
1.5K
7.6K",984,1.5K,7.6K
Rep. Marjorie Taylor Greene,@RepMTG,2021-07-15 16:36:49+00:00,"Rep. Marjorie Taylor GreeneDuring my visit, I saw the national security crisis created by Joe Biden & Kamala Harris on our border.

The Border Patrol needs more agents.

They need President Trump’s border wall to be maintained & FINISHED.

And they need policies in place to make sure they can do their job!
2K
771
2.2K",2K,771,2.2K
Joe Walsh,@WalshFreedom,2021-07-15 16:39:02+00:00,"Joe WalshThe best part of all of this dangerous shit coming out about Trump is that the Republican Party owns it. They’ll never be able to escape it.
774
3.4K
21.7K",774,3.4K,21.7K
Kyla In The Burgh,@KylaInTheBurgh,2021-07-15 16:42:21+00:00,"Kyla In The BurghAs House GOP leader, Kevin McCarthy, is meeting with Trump today, I am only left with one question...

Will Kevin spit or swallow?
853
1.1K
5.8K",853,1.1K,5.8K
S.E. Cupp,@secupp,2021-07-15 16:47:50+00:00,"S.E. CuppAll these “on the brink,” end of days reports about Trump almost taking the nation off the deep end belie one crucial point: none of that happened over night. It happened every day, little by little, over four years, as Republicans looked on either silently or approvingly.
1.2K
7.3K
39K",1.2K,7.3K,39K
A Worried Citizen,@ThePubliusUSA,2021-07-15 16:48:13+00:00,"A Worried CitizenThe founders would have tried Donald Trump for treason. What the hell are we doing?
479
3.5K
14.5K",479,3.5K,14.5K
Matt Viser,@mviser,2021-07-15 16:50:49+00:00,"Matt ViserJust in from former President Trump: “Some of the stars I produced are actually made of garbage.”
1.2K
1.7K
4.3K",1.2K,1.7K,4.3K
NoelCaslerComedy,@caslernoel,2021-07-15 17:20:42+00:00,"NoelCaslerComedyTrump beckons for Kevin McCarthy every time he hits a particularly bad news cycle. It’s happened several times since the insurrection. Why is an active member of congress giving political cover to a treasonous ex POTUS? This should be a crime 
@GOPLeader
295
4K
13.6K",295,4K,13.6K
Kayleigh McEnany,@kayleighmcenany,2021-07-15 17:47:38+00:00,"Kayleigh McEnanyInteresting! Here is the White House (probably unwittingly)  bolstering President Trump’s Big Tech lawsuit, alleging these companies have become pseudo-government actors!

“We're flagging problematic posts for Facebook that spread disinformation."" 
From 
Daily Caller
731
1.6K
6.3K",731,1.6K,6.3K
Bernard B. Kerik,@BernardKerik,2021-07-15 17:49:31+00:00,"Bernard B. KerikYou piece of shit! You denounced President Trump’s claims and told the media and Georgians it was a perfect election. You knew about the corruption and failures on November 7, and you did absolutely nothing about it. You and 
@GovKemp
 should resign immediately.
GA Secretary of State Brad Raffensperger
@GaSecofState
 · Jul 15
Fulton County’s continued failures have gone on long enough with no accountability. Rick Barron and Ralph Jones, Fulton’s registration chief, must be fired and removed from Fulton’s elections leadership immediately. Fulton’s voters and the people of Georgia deserve better.
597
5.5K
13.5K",597,5.5K,13.5K
Marjorie Taylor Greene,@mtgreenee,2021-07-15 18:01:26+00:00,"Marjorie Taylor GreeneI’ve been saying it since Nov 4th.

Trump won Georgia.
Charlie Kirk
@charliekirk11
 · Jul 15
Watch this.

No serious person can tell me that this election, at least in the state of Georgia, was conducted fairly and without fraud.

Everyone needs to see this.

Seriously….watch.
1.4K
3.5K
10.8K",1.4K,3.5K,10.8K
Bill Kristol,@BillKristol,2021-07-15 18:54:03+00:00,"Bill KristolNarrator:

1. Nancy Pelosi is not a known nut job.

2. They did laugh when Donald Trump was there.
448
569
3.8K",448,569,3.8K
Laurence Tribe,@tribelaw,2021-07-15 19:00:49+00:00,"Laurence TribeThere may be a legit jury question about whether Donald Trump personally “incited,” or gave “aid and comfort” to, the Jan 6 insurrection. But that the Jan 6 storming of the Capitol to stop the electoral vote count was an “insurrection” as U.S. law defines it seems beyond doubt.
328
3.6K
13.9K",328,3.6K,13.9K
MeidasTouch.com,@MeidasTouch,2021-07-15 19:02:16+00:00,"MeidasTouch.comTrump and McCarthy are still plotting a coup. It doesn’t take a stable genius to know that.
312
5.1K
21.5K",312,5.1K,21.5K
Emerald Robinson,@EmeraldRobinson,2021-07-15 19:18:43+00:00,"Emerald RobinsonIn Fulton County: ballots counted twice! And 7 tally sheets with 100 votes for Biden & zero votes for Trump!

In Maricopa County: Thousands of duplicate ballots with no serial numbers!

Election fraud is now a fact.
514
7.5K
18.7K",514,7.5K,18.7K
Rep. Jim Jordan,@Jim_Jordan,2021-07-15 19:36:38+00:00,"Rep. Jim JordanAre you paying more for gas today than you did during the Trump Administration? 

Yes. 

Groceries? 

Yes. 

Hotel rooms, flights, car rentals? 

Yes. 

Clothes, shoes? 

Yes. 

Joe Biden’s America!
2.6K
3.8K
17.3K",2.6K,3.8K,17.3K
Deadline White House,@DeadlineWH,2021-07-15 21:21:32+00:00,"Deadline White House“From the new book 'I Alone Can Fix It' by Philip Rucker and Carol Leonnig, we are learning that the Trump presidency was much worse than any of us could have imagined and the people around him all knew he had autocratic tendencies” - 
@NicolleDWallace
337
1K
2.4K",337,1K,2.4K
Laurence Tribe,@tribelaw,2021-07-15 21:46:55+00:00,"Laurence TribeEthel and Julius Rosenberg were executed for less. Not that I’d defend their electrocution, but I’m just saying Trump’s demonstrable perfidy was far worse than their alleged espionage. He sold out to a sworn enemy of our country for power and riches.
theguardian.com
Kremlin papers appear to show Putin’s plot to put Trump in White House
Exclusive: Documents suggest Russia launched secret multi-agency effort to interfere in US democracy
363
2.4K
5.7K",363,2.4K,5.7K
John Pavlovitz,@johnpavlovitz,2021-07-15 21:49:12+00:00,"John PavlovitzIt's demoralizing sharing a country with people who think Donald Trump is someone worth emulating.
631
3.6K
28.5K",631,3.6K,28.5K
Katrina Pierson,@KatrinaPierson,2021-07-15 22:41:04+00:00,"Katrina PiersonTrump was Right! #ArizonaAudit
884
2.1K
10.4K",884,2.1K,10.4K
Julius Kim,@Julius_Kim,2021-07-15 22:56:50+00:00,"Julius KimI’ll be honest. I wouldn’t shed a tear if Trump croaked tomorrow. 
863
390
4.1K",863,390,4.1K
Wendy Rogers,@WendyRogersAZ,2021-07-16 06:22:36+00:00,"Wendy RogersI am getting calls and texts from all over the nation with great encouraging words to keep pushing for the truth. I also appreciate the mention from President Trump in his very strong statement today. We won’t stop until we get it right.  Thank you all  #AZAudit
692
2.6K
10.1K",692,2.6K,10.1K
American Neanderthal,@DanCook26214426,2021-07-16 07:07:15+00:00,"American NeanderthalShould Donald Trump be reinstated as the rightful president of the United States?
1.3K
1.7K
8.9K",1.3K,1.7K,8.9K
PoliticsVideoChannel,@politvidchannel,2021-07-16 11:46:42+00:00,"PoliticsVideoChannelBREAKING: Trump is struggling to sell tickets for his upcoming tour with Bill O'Reilly
579
995
4.7K",579,995,4.7K
Joe Walsh,@WalshFreedom,2021-07-16 12:26:16+00:00,"Joe WalshJohn Bolton just told 
@brikeilarcnn
 on 
@NewDay
 that Trump’s support in the GOP is “shrinking.”

Bullshit. Bolton is wrong. The GOP is Trump’s party. Trump’s support among the base is hardening. It’s as strong as ever. Which is why every Republican kisses Trump’s ring.
564
698
3.1K",564,698,3.1K
New Day,@NewDay,2021-07-16 12:30:38+00:00,"New DayTrump’s response to reports that top US general Milley feared the former President would attempt a coup is “juvenile,” former National Security Adviser John Bolton says.

“I shouldn’t laugh because it’s more serious than that, but it’s so typical that I can’t stop myself.”
709
695
1.5K",709,695,1.5K
Jon Cooper,@joncoopertweets,2021-07-16 13:11:33+00:00,"Jon CooperTrump was the WORST president in U.S. history — by far!! Does anyone disagree?
2.5K
4.2K
35.8K",2.5K,4.2K,35.8K
Rob Reiner,@robreiner,2021-07-16 13:32:53+00:00,"Rob ReinerWe have to keep saying this: Donald Trump led a deadly attack to overthrow the United States Government. To preserve Democracy, he must be held accountable. Indict!
1.3K
11.6K
50.5K",1.3K,11.6K,50.5K
Hoodlum,@NotHoodlum,2021-07-16 13:51:06+00:00,"HoodlumTrump is having trouble selling tickets for his “History Tour” with Bill O’Reilly, according to venue officials. O’Reilly said his conversations with Trump “will not be boring,” while Trump promised “fun, fun, fun for everyone who attends.”
966
563
2K",966,563,2K
Amy Lynn,@AmyAThatcher,2021-07-16 13:54:26+00:00,"Amy LynnSo, let me get this straight...Mike Pence thought the Secret Service might take him out on Jan 6th... Insurrectionists wanted to hang him...Trump incited the whole thing... But Pence is still a good little lap dog. Yeah, makes perfect sense .
358
1.4K
6.6K",358,1.4K,6.6K
Michael Cohen,@MichaelCohen212,2021-07-16 14:38:37+00:00,"Michael CohenYes I did and my latest prediction is that #Trump, Don, Jr. and Princess Ivanka all face indictment. Just watch!
Eric Columbus
@EricColumbus
 · Jul 16
Just a reminder that @MichaelCohen212 predicted 1/6 nearly two years earlier. twitter.com/atrupar/status…
587
1.3K
7.2K",587,1.3K,7.2K
NoelCaslerComedy,@caslernoel,2021-07-16 15:21:06+00:00,"NoelCaslerComedyIf Vanky was in the tent with Trump on Jan 6th to be a balm on her father because she instinctually felt unease at the danger of the moment. (WH Aides apparently even shocked that she was there) then WHY didn’t she tell Kimberly Guilfoyle to stop dancing?
284
1.6K
9.9K",284,1.6K,9.9K
Mediaite,@Mediaite,2021-07-16 15:26:04+00:00,"MediaiteBill O’Reilly called it “bullsh*t” that ticket sales for his arena show with former President Trump have been slow. 

But a Ticketmaster map of the venue shows otherwise (the unsold seats are in blue). https://mediaite.com/a/simgf
1.2K
3.5K
10.9K",1.2K,3.5K,10.9K
Juanita Broaddrick,@atensnut,2021-07-16 15:35:47+00:00,"Juanita BroaddrickProof of Trump grabbing a pussy.
1.4K
6.6K
22.6K",1.4K,6.6K,22.6K
Juanita Broaddrick,@atensnut,2021-07-16 15:59:56+00:00,"Juanita BroaddrickPersonally I think Trump should dump McCarthy.
465
1.2K
9.2K",465,1.2K,9.2K
Marjorie Taylor Greene,@mtgreenee,2021-07-16 16:36:28+00:00,"Marjorie Taylor GreeneThe Republicans assigned to the J6 committee should be the toughest fighters that will stand up to Pelosi’s witch-hunt 2.0 and defend Pres Trump, Republicans who objected, & political abuse against J6 protestors.

The people know who the fighters are.

I’ve asked to be assigned.
2K
1.6K
6.4K",2K,1.6K,6.4K
#TuckFrump,@realTuckFrumper,2021-07-16 20:42:48+00:00,"#TuckFrumpBill O’Reilly threatens to sue over report that his tour with Trump isn't selling out
salon.com
O'Reilly threatens to sue over slow Trump tour ticket sales report
""I’ll sue your ass off and you can quote me on that,” O'Reilly warned Politico, which ignored his threat.
493
506
1.4K",493,506,1.4K
NoelCaslerComedy,@caslernoel,2021-07-16 21:00:36+00:00,"NoelCaslerComedyWhat we need to figure out with Trump is who were the folks that whispered in his ear all the weaknesses to exploit. That let him know he was basically safe from DOJ and any real pushback on the Hill. Somebody schooled him on how Washington really works.
374
2K
8.2K",374,2K,8.2K
Mia Farrow,@MiaFarrow,2021-07-16 21:30:43+00:00,"Mia FarrowThe way i see it, Donald Trump was and maybe still is the greatest threat to our national security
873
3.3K
36.1K",873,3.3K,36.1K
Ted Cruz,@tedcruz,2021-07-16 21:43:24+00:00,"Ted CruzThis is INSANE:

The White House explicitly demands total collusion from Big Tech billionaires to censor what the American people can & cannot say.

Silver lining: Biden Admin is daily dramatically strengthening argument in Trump lawsuit that Big Tech censorship is state action.
Townhall.com
@townhallcom
 · Jul 16
PSAKI: If you're banned on one social media platform, you should be banned on other social media platforms.
Show this thread
1.9K
3.3K
11.7K",1.9K,3.3K,11.7K
Alex Sheppard,@NotAlexSheppard,2021-07-16 23:03:27+00:00,"Alex SheppardBREAKING 

Representative Devin Nunes announced that John Durham will soon be releasing a “damming report”‘on the FBI’s Witch Hunt against President Trump (Russia, Russia, Russia)

The report could be available as soon as early next week, and people WILL be going to prison!
1.2K
2.6K
7.2K",1.2K,2.6K,7.2K
Daniel Goldman,@danielsgoldman,2021-07-16 23:23:58+00:00,"Daniel GoldmanIf Democrats said that Trump gets full credit for the vaccine, would science and public health stop being a partisan issue? Just wondering if there is *any* way to separate the vaccine and politics…
651
589
5.1K",651,589,5.1K
PoliticsVideoChannel,@politvidchannel,2021-07-16 23:33:30+00:00,"PoliticsVideoChannelBREAKING EXCLUSIVE: city officials around the country are thinking about suing former President Trump’s campaign to recoup expenses incurred during his rallies.
736
2.9K
12.5K",736,2.9K,12.5K
Richard Grenell,@RichardGrenell,2021-07-16 23:48:49+00:00,"Richard GrenellI spoke to President Trump today and I’d say he’s running.
1.9K
4.8K
29.6K",1.9K,4.8K,29.6K
TheSadTruth,@ReportsDaNews,2021-07-17 02:12:28+00:00,"TheSadTruthBREAKING: Giuliani and Trump facing criminal investigation for effort to overturn the election in Arizona.
327
2.2K
10.6K",327,2.2K,10.6K
S.E. Cupp,@secupp,2021-07-17 02:40:19+00:00,"S.E. CuppDon’t forget, Trump was only a successful candidate bc the GOP chose to accept him. And then they promoted him. And then they defended him. 
Trump built the car that would take the country over the cliff. But Republicans supplied the gas.
400
1.3K
9.5K",400,1.3K,9.5K
